,f,machine_is_work,machine_factory,machine_worktime,machine_worktime_energy,MEASURE_TEM,MEASURE_HUM,F_FUTURETIME,HOURS,f_id,FORECAST_TEM,FORECAST_HUM,AIM_TEM,AIM_HUM
0,2018-01-01 01:00:00,,,,,11.8,70.0,,,,,,,
2,2018-01-01 02:00:00,,,,,11.5,71.0,,,,,,,
4,2018-01-01 03:00:00,,,,,11.4,73.0,,,,,,,
6,2018-01-01 04:00:00,,,,,11.2,75.0,,,,,,,
8,2018-01-01 05:00:00,,,,,10.5,78.0,,,,,,,
10,2018-01-01 06:00:00,,,,,10.3,80.0,,,,,,,
12,2018-01-01 07:00:00,,,,,9.5,84.0,,,,,,,
14,2018-01-01 08:00:00,,,,,10.0,82.0,,,,,,,
16,2018-01-01 09:00:00,1.0,242 241,0.15,,12.5,70.0,,,,,,21.433000000000000,
18,2018-01-01 10:00:00,1.0,242 241 243,0.7666666666666670,,14.4,60.0,,,,,,21.2449,49.0958
20,2018-01-01 11:00:00,1.0,242 243,1.7666666666666700,,15.7,55.0,,,,,,21.5668,
22,2018-01-01 12:00:00,1.0,243,2.7666666666666700,,17.2,52.0,,,,,,21.8128,46.8714
24,2018-01-01 13:00:00,1.0,242 243,3.7666666666666700,,17.4,53.0,,,,,,22.3336,49.8915
26,2018-01-01 14:00:00,1.0,242 243,0.6833333333333330,,19.2,48.0,,,,,,23.5308,62.2504
28,2018-01-01 15:00:00,1.0,243,1.6833333333333300,,19.5,47.0,,,,,,24.3736,53.0671
30,2018-01-01 16:00:00,1.0,243,2.683333333333330,,19.6,49.0,,,,,,24.3012,46.9473
32,2018-01-01 17:00:00,,,,,19.0,50.0,,,,,,24.2904,47.8733
34,2018-01-01 18:00:00,,,,,18.2,56.0,,,,,,24.1493,48.8571
36,2018-01-01 19:00:00,,,,,17.6,55.0,,,,,,23.8708,50.2966
38,2018-01-01 20:00:00,,,,,16.5,65.0,,,,,,23.6827,52.2172
40,2018-01-01 21:00:00,,,,,16.0,67.0,,,,,,23.3572,49.5985
42,2018-01-01 22:00:00,,,,,15.2,67.0,,,,,,22.6374,46.8099
44,2018-01-01 23:00:00,,,,,14.3,68.0,,,,,,22.1528,45.1425
46,2018-01-02 00:00:00,,,,,14.0,66.0,,,,,,22.7098,45.8369
48,2018-01-02 01:00:00,,,,,13.6,69.0,,,,,,22.7857,47.6563
50,2018-01-02 02:00:00,,,,,13.2,69.0,,,,,,22.8111,48.1662
52,2018-01-02 03:00:00,,,,,13.1,71.0,,,,,,22.7749,47.9131
54,2018-01-02 04:00:00,,,,,12.9,72.0,,,,,,22.7279,47.86600000000000
56,2018-01-02 05:00:00,,,,,12.0,76.0,,,,,,22.6772,47.7828
58,2018-01-02 06:00:00,,,,,11.0,82.0,,,,,,22.623,48.253
60,2018-01-02 07:00:00,,,,,10.3,86.0,,,,,,22.5036,48.5352
62,2018-01-02 08:00:00,,,,,10.9,84.0,,,,,,22.2794,47.1318
64,2018-01-02 09:00:00,,,,,13.9,69.0,,,,,,22.3372,
66,2018-01-02 10:00:00,,,,,16.1,58.0,,,,,,22.0985,47.5767
68,2018-01-02 11:00:00,,,,,17.6,54.0,,,,,,22.4096,48.3145
70,2018-01-02 12:00:00,,,,,19.1,51.0,,,,,,22.67,48.1011
72,2018-01-02 13:00:00,,,,,20.9,47.0,,,,,,23.3572,48.0288
74,2018-01-02 14:00:00,,,,,22.0,44.0,,,,,,24.7461,49.8264
76,2018-01-02 15:00:00,,,,,22.8,43.0,,,,,,25.5056,47.3054
78,2018-01-02 16:00:00,,,,,22.3,44.0,,,,,,26.0156,46.5097
80,2018-01-02 17:00:00,,,,,21.5,48.0,,,,,,26.0156,44.6398
82,2018-01-02 18:00:00,,,,,19.6,57.0,,,,,,25.4984,48.3181
84,2018-01-02 19:00:00,,,,,17.5,66.0,,,,,,24.7316,50.0253
86,2018-01-02 20:00:00,,,,,15.9,72.0,,,,,,23.9757,50.7017
88,2018-01-02 21:00:00,,,,,15.1,76.0,,,,,,23.1402,50.9368
90,2018-01-02 22:00:00,,,,,14.4,79.0,,,,,,23.1547,49.537
92,2018-01-02 23:00:00,,,,,13.6,82.0,,,,,,23.3861,49.2875
94,2018-01-03 00:00:00,,,,,12.7,87.0,,,,,,23.2668,48.9439
96,2018-01-03 01:00:00,,,,,12.1,89.0,,,,,,23.1583,48.7956
98,2018-01-03 02:00:00,,,,,11.7,90.0,,,,,,23.0498,48.5352
100,2018-01-03 03:00:00,,,,,11.3,92.0,,,,,,23.0679,48.6545
102,2018-01-03 04:00:00,,,,,10.9,92.0,,,,,,23.01,48.4881
104,2018-01-03 05:00:00,,,,,10.8,94.0,,,,,,22.9485,48.2856
106,2018-01-03 06:00:00,,,,,10.4,93.0,,,,,,22.9015,48.0071
108,2018-01-03 07:00:00,,,,,10.2,93.0,,,,,,22.8183,47.8335
110,2018-01-03 08:00:00,,,,,10.8,92.0,,,,,,22.6013,47.7611
112,2018-01-03 09:00:00,,,,,13.5,81.0,,,,,,22.7206,48.3435
114,2018-01-03 10:00:00,,,,,16.1,69.0,,,,,,22.4855,52.2389
116,2018-01-03 11:00:00,,,,,18.4,60.0,,,,,,22.7387,52.4957
118,2018-01-03 12:00:00,,,,,20.5,53.0,,,,,,23.1402,52.2461
120,2018-01-03 13:00:00,,,,,22.1,49.0,,,,,,23.7297,52.7814
122,2018-01-03 14:00:00,,,,,23.2,45.0,,,,,,25.1114,51.67100000000000
124,2018-01-03 15:00:00,,,,,24.5,43.0,,,,,,26.0446,48.0288
126,2018-01-03 16:00:00,,,,,23.6,44.0,,,,,,26.5075,46.0431
128,2018-01-03 17:00:00,,,,,22.8,46.0,,,,,,26.5039,
130,2018-01-03 18:00:00,,,,,20.7,56.0,,,,,,26.088,49.6889
132,2018-01-03 19:00:00,,,,,19.9,60.0,,,,,,25.8709,52.3365
134,2018-01-03 20:00:00,,,,,19.2,63.0,,,,,,25.5201,50.6619
136,2018-01-03 21:00:00,,,,,17.5,71.0,,,,,,24.7642,50.8464
138,2018-01-03 22:00:00,,,,,17.0,74.0,,,,,,24.2542,53.2335
140,2018-01-03 23:00:00,,,,,17.0,73.0,,,,,,23.9214,52.1665
142,2018-01-04 00:00:00,,,,,17.4,73.0,,,,,,24.3121,51.794
144,2018-01-04 01:00:00,,,,,16.7,77.0,,,,,,24.341000000000000,52.0146
146,2018-01-04 02:00:00,,,,,15.3,83.0,,,,,,24.3012,51.9278
148,2018-01-04 03:00:00,,,,,14.5,86.0,,,,,,24.1674,51.8482
150,2018-01-04 04:00:00,,,,,13.6,89.0,,,,,,24.048000000000000,51.6746
152,2018-01-04 05:00:00,,,,,13.0,90.0,,,,,,23.9757,51.284
154,2018-01-04 06:00:00,,,,,13.1,90.0,,,,,,23.9214,50.8464
156,2018-01-04 07:00:00,,,,,13.2,88.0,,,,,,23.8382,50.6474
158,2018-01-04 08:00:00,,,,,13.3,88.0,,,,,,23.6212,50.1736
160,2018-01-04 09:00:00,,,,,14.6,83.0,,,,,,23.7117,51.0851
162,2018-01-04 10:00:00,,,,,16.4,75.0,,,,,,23.3102,52.5463
164,2018-01-04 11:00:00,,,,,18.1,67.0,,,,,,23.567000000000000,54.9877
166,2018-01-04 12:00:00,,,,,19.0,61.0,,,,,,23.7478,52.1774
168,2018-01-04 13:00:00,,,,,20.1,59.0,,,,,,23.6429,52.8574
170,2018-01-04 14:00:00,,,,,20.1,58.0,,,,,,24.3157,53.4867
172,2018-01-04 15:00:00,,,,,20.3,59.0,,,,,,24.6918,54.4307
174,2018-01-04 16:00:00,,,,,20.0,61.0,,,,,,25.021,55.1939
176,2018-01-04 17:00:00,,,,,19.3,63.0,,,,,,25.0499,
178,2018-01-04 18:00:00,,,,,18.5,67.0,,,,,,24.8763,54.2028
180,2018-01-04 19:00:00,,,,,18.1,69.0,,,,,,24.3121,53.2805
182,2018-01-04 20:00:00,,,,,18.0,71.0,,,,,,23.8672,54.2788
184,2018-01-04 21:00:00,,,,,17.4,75.0,,,,,,23.4766,54.8177
186,2018-01-04 22:00:00,,,,,17.1,75.0,,,,,,23.0208,55.3277
188,2018-01-04 23:00:00,,,,,17.0,77.0,,,,,,23.7117,54.8864
190,2018-01-05 00:00:00,,,,,16.4,85.0,,,,,,23.8672,54.1956
192,2018-01-05 01:00:00,,,,,16.1,86.0,,,,,,23.9214,54.4126
194,2018-01-05 02:00:00,,,,,16.1,85.0,,,,,,23.8997,54.4669
196,2018-01-05 03:00:00,,,,,15.9,87.0,,,,,,23.878,54.7056
198,2018-01-05 04:00:00,,,,,15.7,91.0,,,,,,23.8202,55.3639
200,2018-01-05 05:00:00,,,,,15.4,93.0,,,,,,23.7659,55.8087
202,2018-01-05 06:00:00,,,,,14.8,85.0,,,,,,23.6755,56.3043
204,2018-01-05 07:00:00,,,,,13.6,81.0,,,,,,23.5598,55.5592
206,2018-01-05 08:00:00,,,,,13.5,77.0,,,,,,23.4115,52.8465
208,2018-01-05 09:00:00,,,,,13.2,82.0,,,,,,23.4115,51.0272
210,2018-01-05 10:00:00,,,,,13.8,84.0,,,,,,22.9557,52.4776
212,2018-01-05 11:00:00,,,,,15.2,77.0,,,,,,22.8291,53.6784
214,2018-01-05 12:00:00,,,,,15.8,73.0,,,,,,23.1872,52.6584
216,2018-01-05 13:00:00,,,,,16.6,72.0,,,,,,23.4729,53.9243
218,2018-01-05 14:00:00,,,,,16.7,71.0,,,,,,24.0806,61.7549
220,2018-01-05 15:00:00,,,,,16.9,70.0,,,,,,24.6738,65.2127
222,2018-01-05 16:00:00,,,,,16.7,69.0,,,,,,25.021,65.4116
224,2018-01-05 17:00:00,,,,,16.4,72.0,,,,,,25.1693,67.9434
226,2018-01-05 18:00:00,,,,,16.1,76.0,,,,,,25.4116,59.1544
228,2018-01-05 19:00:00,,,,,15.9,76.0,,,,,,24.3808,55.3747
230,2018-01-05 20:00:00,,,,,15.6,77.0,,,,,,23.6683,52.2569
232,2018-01-05 21:00:00,,,,,15.4,79.0,,,,,,23.0281,52.3293
234,2018-01-05 22:00:00,,,,,15.3,78.0,,,,,,22.5,52.5752
236,2018-01-05 23:00:00,,,,,15.3,79.0,,,,,,22.0985,53.3239
238,2018-01-06 00:00:00,,,,,15.1,81.0,,,,,,22.3192,52.7959
240,2018-01-06 01:00:00,,,,,14.9,82.0,,,,,,22.8906,52.8176
242,2018-01-06 02:00:00,,,,,14.6,86.0,,,,,,23.1583,52.2967
244,2018-01-06 03:00:00,,,,,14.2,89.0,,,,,,23.2993,52.0472
246,2018-01-06 04:00:00,,,,,13.8,92.0,,,,,,23.3861,52.1557
248,2018-01-06 05:00:00,,,,,13.3,92.0,,,,,,23.3861,52.8284
250,2018-01-06 06:00:00,,,,,13.0,95.0,,,,,,23.3572,53.4469
252,2018-01-06 07:00:00,,,,,12.9,95.0,,,,,,23.3283,53.776
254,2018-01-06 08:00:00,,,,,13.0,96.0,,,,,,23.3066,53.6712
256,2018-01-06 09:00:00,,,,,13.1,96.0,,,,,,23.0859,54.57900000000000
258,2018-01-06 10:00:00,,,,,13.6,95.0,,,,,,23.1872,57.8378
260,2018-01-06 11:00:00,,,,,13.7,93.0,,,,,,23.2378,56.9553
262,2018-01-06 12:00:00,,,,,14.1,93.0,,,,,,23.1583,56.3947
264,2018-01-06 13:00:00,,,,,13.9,93.0,,,,,,23.3572,59.1291
266,2018-01-06 14:00:00,,,,,13.9,94.0,,,,,,23.4476,62.8653
268,2018-01-06 15:00:00,,,,,13.8,94.0,,,,,,22.9449,63.3717
270,2018-01-06 16:00:00,,,,,13.5,92.0,,,,,,22.9232,63.8817
272,2018-01-06 17:00:00,,,,,13.4,95.0,,,,,,22.5651,62.8798
274,2018-01-06 18:00:00,,,,,13.1,95.0,,,,,,22.1202,62.717
276,2018-01-06 19:00:00,,,,,12.9,95.0,,,,,,21.5451,60.5794
278,2018-01-06 20:00:00,,,,,12.8,95.0,,,,,,21.0098,59.5775
280,2018-01-06 21:00:00,,,,,12.7,96.0,,,,,,21.8273,58.1091
282,2018-01-06 22:00:00,,,,,12.8,97.0,,,,,,22.3481,57.9463
284,2018-01-06 23:00:00,,,,,12.6,97.0,,,,,,22.5723,57.9391
286,2018-01-07 00:00:00,,,,,12.8,97.0,,,,,,22.6664,57.8378
288,2018-01-07 01:00:00,,,,,12.7,97.0,,,,,,22.6989,57.70400000000000
290,2018-01-07 02:00:00,,,,,12.6,97.0,,,,,,22.7206,57.5774
292,2018-01-07 03:00:00,,,,,12.5,97.0,,,,,,22.7279,57.3459
294,2018-01-07 04:00:00,,,,,12.6,97.0,,,,,,22.7387,57.2663
296,2018-01-07 05:00:00,,,,,12.6,97.0,,,,,,22.7387,57.4002
298,2018-01-07 06:00:00,,,,,12.6,97.0,,,,,,22.7496,57.2989
300,2018-01-07 07:00:00,,,,,12.6,97.0,,,,,,22.7279,57.3459
302,2018-01-07 08:00:00,,,,,12.7,97.0,,,,,,22.6302,55.8883
304,2018-01-07 09:00:00,,,,,12.9,97.0,,,,,,22.6845,56.8468
306,2018-01-07 10:00:00,,,,,13.2,97.0,,,,,,22.2106,58.5142
308,2018-01-07 11:00:00,,,,,13.6,94.0,,,,,,22.5289,59.5956
310,2018-01-07 12:00:00,,,,,14.0,95.0,,,,,,22.6447,58.8108
312,2018-01-07 13:00:00,,,,,14.6,96.0,,,,,,22.8472,61.1256
314,2018-01-07 14:00:00,,,,,15.6,92.0,,,,,,23.5236,68.5294
316,2018-01-07 15:00:00,,,,,16.0,90.0,,,,,,24.1819,73.6183
318,2018-01-07 16:00:00,,,,,16.5,93.0,,,,,,24.7244,74.5949
320,2018-01-07 17:00:00,,,,,16.3,93.0,,,,,,24.1493,67.0718
322,2018-01-07 18:00:00,,,,,16.1,95.0,,,,,,23.7768,66.4063
324,2018-01-07 19:00:00,,,,,15.8,96.0,,,,,,23.4621,65.2742
326,2018-01-07 20:00:00,,,,,15.7,97.0,,,,,,23.7008,66.0301
328,2018-01-07 21:00:00,,,,,15.5,97.0,,,,,,23.6574,64.8293
330,2018-01-07 22:00:00,,,,,15.3,97.0,,,,,,23.6393,64.077
332,2018-01-07 23:00:00,,,,,15.3,98.0,,,,,,23.567000000000000,62.9702
334,2018-01-08 00:00:00,,,,,15.2,98.0,,,,,,23.4766,64.0806
336,2018-01-08 01:00:00,,,,,15.2,98.0,,,,,,23.4187,63.9685
338,2018-01-08 02:00:00,,,,,15.2,98.0,,,,,,23.3681,63.7189
340,2018-01-08 03:00:00,,,,,15.2,98.0,,,,,,23.3572,63.4476
342,2018-01-08 04:00:00,,,,,15.2,98.0,,,,,,23.3681,63.1908
344,2018-01-08 05:00:00,,,,,15.3,98.0,,,,,,23.3608,63.2993
346,2018-01-08 06:00:00,,,,,12.4,86.0,,,,,,23.2378,62.1817
348,2018-01-08 07:00:00,,,,,12.2,96.0,,,,,,23.1655,58.1416
350,2018-01-08 08:00:00,,,,,12.4,97.0,,,,,,22.9485,59.1471
352,2018-01-08 09:00:00,,,,,12.3,95.0,,,,,,22.9304,59.1978
354,2018-01-08 10:00:00,,,,,12.0,89.0,,,,,,22.84,58.9301
356,2018-01-08 11:00:00,,,,,11.4,89.0,,,,,,22.5868,53.6856
358,2018-01-08 12:00:00,,,,,10.2,90.0,,,,,,22.5904,54.1269
360,2018-01-08 13:00:00,,,,,8.8,88.0,,,,,,20.8001,49.5298
362,2018-01-08 14:00:00,,,,,7.6,88.0,,,,,,20.1309,54.3367
364,2018-01-08 15:00:00,,,,,7.5,87.0,,,,,,19.9175,53.7001
366,2018-01-08 16:00:00,,,,,7.2,83.0,,,,,,19.856000000000000,
368,2018-01-08 17:00:00,,,,,7.2,87.0,,,,,,19.5558,51.2334
370,2018-01-08 18:00:00,,,,,6.5,89.0,,,,,,19.0061,50.7523
372,2018-01-08 19:00:00,,,,,6.3,87.0,,,,,,18.4599,46.1227
374,2018-01-08 20:00:00,,,,,5.9,91.0,,,,,,17.7148,44.8134
376,2018-01-08 21:00:00,,,,,6.3,92.0,,,,,,17.6968,45.0557
378,2018-01-08 22:00:00,,,,,6.2,88.0,,,,,,19.3533,43.6017
380,2018-01-08 23:00:00,,,,,5.9,83.0,,,,,,19.9609,43.3196
382,2018-01-09 00:00:00,,,,,5.9,81.0,,,,,,20.319000000000000,43.4968
384,2018-01-09 01:00:00,,,,,5.7,82.0,,,,,,20.4745,43.1858
386,2018-01-09 02:00:00,,,,,5.8,68.0,,,,,,20.5035,42.466
388,2018-01-09 03:00:00,,,,,5.5,61.0,,,,,,20.536000000000000,40.9361
390,2018-01-09 04:00:00,,,,,5.3,66.0,,,,,,20.536000000000000,40.8275
392,2018-01-09 05:00:00,,,,,4.9,67.0,,,,,,20.4999,39.6882
394,2018-01-09 06:00:00,,,,,4.9,62.0,,,,,,20.5216,37.9774
396,2018-01-09 07:00:00,,,,,4.8,68.0,,,,,,20.536000000000000,37.8762
398,2018-01-09 08:00:00,,,,,5.0,61.0,,,,,,20.4745,34.9465
400,2018-01-09 09:00:00,,,,,5.4,51.0,,,,,,20.5686,29.4416
402,2018-01-09 10:00:00,,,,,5.7,59.0,,,,,,20.1743,27.3872
404,2018-01-09 11:00:00,,,,,6.4,51.0,,,,,,19.6318,
406,2018-01-09 12:00:00,,,,,7.3,44.0,,,,,,20.0731,
408,2018-01-09 13:00:00,,,,,8.7,43.0,,,,,,19.158,29.6405
410,2018-01-09 14:00:00,,,,,9.4,40.0,,,,,,19.3063,
412,2018-01-09 15:00:00,,,,,9.1,44.0,,,,,,19.4365,
414,2018-01-09 16:00:00,,,,,9.4,45.0,,,,,,19.5739,
416,2018-01-09 17:00:00,,,,,9.1,46.0,,,,,,19.6463,39.9089
418,2018-01-09 18:00:00,,,,,8.5,51.0,,,,,,19.4365,37.6772
420,2018-01-09 19:00:00,,,,,7.5,57.0,,,,,,18.6444,38.6683
422,2018-01-09 20:00:00,,,,,6.9,60.0,,,,,,17.8233,34.6137
424,2018-01-09 21:00:00,,,,,6.1,63.0,,,,,,17.1325,33.9482
426,2018-01-09 22:00:00,,,,,4.6,76.0,,,,,,16.3513,35.9339
428,2018-01-09 23:00:00,,,,,3.8,82.0,,,,,,16.5828,34.7946
430,2018-01-10 00:00:00,,,,,3.2,81.0,,,,,,17.9789,33.8361
432,2018-01-10 01:00:00,,,,,3.1,77.0,,,,,,18.4635,34.4112
434,2018-01-10 02:00:00,,,,,2.5,79.0,,,,,,18.6408,35.0043
436,2018-01-10 03:00:00,,,,,1.7,84.0,,,,,,18.7023,34.8705
438,2018-01-10 04:00:00,,,,,1.9,81.0,,,,,,18.7457,34.5775
440,2018-01-10 05:00:00,,,,,1.5,82.0,,,,,,18.7457,35.1165
442,2018-01-10 06:00:00,,,,,1.1,85.0,,,,,,18.7348,34.7692
444,2018-01-10 07:00:00,,,,,0.9,85.0,,,,,,18.7023,34.2593
446,2018-01-10 08:00:00,,,,,2.1,80.0,,,,,,18.4961,32.8197
448,2018-01-10 09:00:00,,,,,4.9,60.0,,,,,,18.5359,
450,2018-01-10 10:00:00,,,,,7.7,44.0,,,,,,18.7059,32.4906
452,2018-01-10 11:00:00,,,,,10.3,32.0,,,,,,,
454,2018-01-10 12:00:00,,,,,11.0,26.0,,,,,,,
456,2018-01-10 13:00:00,,,,,12.6,27.0,,,,,,,
458,2018-01-10 14:00:00,,,,,13.7,24.0,,,,,,,
460,2018-01-10 15:00:00,,,,,13.3,25.0,,,,,,20.9701,
462,2018-01-10 16:00:00,,,,,13.3,23.0,,,,,,21.0098,
464,2018-01-10 17:00:00,,,,,13.7,23.0,,,,,,20.9881,30.4651
466,2018-01-10 18:00:00,,,,,10.8,35.0,,,,,,20.2756,32.6136
468,2018-01-10 19:00:00,,,,,10.1,32.0,,,,,,19.3461,28.4795
470,2018-01-10 20:00:00,,,,,8.9,37.0,,,,,,18.5431,23.6256
472,2018-01-10 21:00:00,,,,,8.9,35.0,,,,,,18.044,21.2384
474,2018-01-10 22:00:00,,,,,8.5,35.0,,,,,,17.7076,19.6217
476,2018-01-10 23:00:00,,,,,8.2,32.0,,,,,,19.0531,21.2963
478,2018-01-11 00:00:00,,,,,7.9,31.0,,,,,,19.4076,22.9782
480,2018-01-11 01:00:00,,,,,7.0,36.0,,,,,,19.6463,23.9981
482,2018-01-11 02:00:00,,,,,6.7,36.0,,,,,,19.7078,24.4611
484,2018-01-11 03:00:00,,,,,6.9,34.0,,,,,,19.7982,24.9566
486,2018-01-11 04:00:00,,,,,6.1,36.0,,,,,,19.8452,24.9385
488,2018-01-11 05:00:00,,,,,5.1,41.0,,,,,,19.7729,24.9711
490,2018-01-11 06:00:00,,,,,3.8,53.0,,,,,,19.7186,25.5425
492,2018-01-11 07:00:00,,,,,2.6,64.0,,,,,,19.5739,26.1104
494,2018-01-11 08:00:00,,,,,3.8,59.0,,,,,,19.3533,25.6981
496,2018-01-11 09:00:00,,,,,6.8,42.0,,,,,,19.4654,27.615
498,2018-01-11 10:00:00,,,,,9.4,23.0,,,,,,18.9157,21.4952
500,2018-01-11 11:00:00,,,,,11.0,21.0,,,,,,19.3822,
502,2018-01-11 12:00:00,,,,,11.9,24.0,,,,,,19.9754,23.1988
504,2018-01-11 13:00:00,,,,,13.5,24.0,,,,,,20.5505,27.105
506,2018-01-11 14:00:00,,,,,14.1,20.0,,,,,,21.7513,41.6775
508,2018-01-11 15:00:00,,,,,14.7,19.0,,,,,,22.6808,44.5349
510,2018-01-11 16:00:00,,,,,14.4,16.0,,,,,,23.1583,45.3885
512,2018-01-11 17:00:00,,,,,12.8,18.0,,,,,,22.8617,28.5699
514,2018-01-11 18:00:00,,,,,10.9,24.0,,,,,,21.7477,25.1049
516,2018-01-11 19:00:00,,,,,9.9,26.0,,,,,,20.7567,22.1354
518,2018-01-11 20:00:00,,,,,8.8,29.0,,,,,,19.6933,19.1442
520,2018-01-11 21:00:00,,,,,6.9,41.0,,,,,,18.5431,21.6688
522,2018-01-11 22:00:00,,,,,4.7,55.0,,,,,,17.4725,23.3724
524,2018-01-11 23:00:00,,,,,5.4,42.0,,,,,,18.8361,22.8154
526,2018-01-12 00:00:00,,,,,5.5,36.0,,,,,,19.3967,23.159000000000000
528,2018-01-12 01:00:00,,,,,5.7,35.0,,,,,,19.6535,23.0396
530,2018-01-12 02:00:00,,,,,5.4,34.0,,,,,,19.7078,23.0975
532,2018-01-12 03:00:00,,,,,4.7,37.0,,,,,,19.6969,23.1698
534,2018-01-12 04:00:00,,,,,3.7,44.0,,,,,,19.6282,23.4447
536,2018-01-12 05:00:00,,,,,3.5,45.0,,,,,,19.5848,23.8643
538,2018-01-12 06:00:00,,,,,2.4,56.0,,,,,,19.4546,24.613000000000000
540,2018-01-12 07:00:00,,,,,1.3,61.0,,,,,,19.4654,
542,2018-01-12 08:00:00,,,,,2.6,59.0,,,,,,19.1544,
544,2018-01-12 09:00:00,,,,,5.4,46.0,,,,,,19.3352,25.0
546,2018-01-12 10:00:00,,,,,7.4,31.0,,,,,,18.6444,22.0884
548,2018-01-12 11:00:00,,,,,8.8,26.0,,,,,,18.0078,22.3054
550,2018-01-12 12:00:00,,,,,10.5,20.0,,,,,,19.592,22.8588
552,2018-01-12 13:00:00,,,,,12.0,24.0,,,,,,20.3407,24.056000000000000
554,2018-01-12 14:00:00,,,,,13.3,24.0,,,,,,21.3137,32.5774
556,2018-01-12 15:00:00,,,,,13.6,21.0,,,,,,21.2703,30.1685
558,2018-01-12 16:00:00,,,,,14.1,21.0,,,,,,21.5415,29.2535
560,2018-01-12 17:00:00,,,,,12.8,22.0,,,,,,21.5994,
562,2018-01-12 18:00:00,,,,,11.3,23.0,,,,,,21.1473,28.2118
564,2018-01-12 19:00:00,,,,,10.2,22.0,,,,,,20.659000000000000,26.9893
566,2018-01-12 20:00:00,,,,,9.2,26.0,,,,,,19.8452,26.8157
568,2018-01-12 21:00:00,,,,,6.5,44.0,,,,,,18.9771,32.1542
570,2018-01-12 22:00:00,,,,,4.9,53.0,,,,,,18.138000000000000,31.9878
572,2018-01-12 23:00:00,,,,,3.5,62.0,,,,,,17.0421,28.7941
574,2018-01-13 00:00:00,,,,,2.6,66.0,,,,,,18.1525,28.172000000000000
576,2018-01-13 01:00:00,,,,,1.8,71.0,,,,,,18.8831,28.2878
578,2018-01-13 02:00:00,,,,,1.6,71.0,,,,,,19.1182,28.0382
580,2018-01-13 03:00:00,,,,,1.0,74.0,,,,,,19.1291,28.1648
582,2018-01-13 04:00:00,,,,,0.4,77.0,,,,,,19.1182,28.4361
584,2018-01-13 05:00:00,,,,,0.3,78.0,,,,,,19.082,28.588
586,2018-01-13 06:00:00,,,,,0.9,84.0,,,,,,19.0748,29.0184
588,2018-01-13 07:00:00,,,,,0.7,85.0,,,,,,19.0169,29.3258
590,2018-01-13 08:00:00,,,,,0.9,80.0,,,,,,18.7348,28.8411
592,2018-01-13 09:00:00,,,,,4.2,61.0,,,,,,18.7637,30.1975
594,2018-01-13 10:00:00,,,,,6.5,49.0,,,,,,18.4238,30.4434
596,2018-01-13 11:00:00,,,,,8.0,45.0,,,,,,18.9446,30.523000000000000
598,2018-01-13 12:00:00,,,,,10.4,37.0,,,,,,19.3461,29.8032
600,2018-01-13 13:00:00,,,,,12.6,29.0,,,,,,20.0948,36.0026
602,2018-01-13 14:00:00,,,,,13.7,24.0,,,,,,20.8145,37.113
604,2018-01-13 15:00:00,,,,,14.2,24.0,,,,,,22.2938,48.4303
606,2018-01-13 16:00:00,,,,,14.4,24.0,,,,,,22.4747,35.2973
608,2018-01-13 17:00:00,,,,,13.8,26.0,,,,,,22.0551,31.5104
610,2018-01-13 18:00:00,,,,,10.9,34.0,,,,,,20.9447,29.1739
612,2018-01-13 19:00:00,,,,,8.6,49.0,,,,,,19.7367,29.2752
614,2018-01-13 20:00:00,,,,,7.9,56.0,,,,,,18.7818,30.447
616,2018-01-13 21:00:00,,,,,7.4,59.0,,,,,,20.1345,30.1758
618,2018-01-13 22:00:00,,,,,7.4,62.0,,,,,,20.4094,30.5483
620,2018-01-13 23:00:00,,,,,7.3,62.0,,,,,,20.4745,30.9028
622,2018-01-14 00:00:00,,,,,7.2,65.0,,,,,,20.5179,31.2934
624,2018-01-14 01:00:00,,,,,7.2,67.0,,,,,,20.4745,31.7238
626,2018-01-14 02:00:00,,,,,7.0,66.0,,,,,,20.4565,32.1687
628,2018-01-14 03:00:00,,,,,7.0,71.0,,,,,,20.4348,32.6244
630,2018-01-14 04:00:00,,,,,6.8,74.0,,,,,,20.3986,33.1778
632,2018-01-14 05:00:00,,,,,6.8,74.0,,,,,,20.3733,33.8542
634,2018-01-14 06:00:00,,,,,6.8,75.0,,,,,,20.3082,34.4871
636,2018-01-14 07:00:00,,,,,6.7,74.0,,,,,,20.2756,34.838
638,2018-01-14 08:00:00,,,,,7.0,74.0,,,,,,20.0658,35.102
640,2018-01-14 09:00:00,,,,,7.7,64.0,,,,,,20.1165,36.6428
642,2018-01-14 10:00:00,,,,,9.0,55.0,,,,,,19.4727,35.4167
644,2018-01-14 11:00:00,,,,,10.8,47.0,,,,,,19.9465,34.7729
646,2018-01-14 12:00:00,,,,,12.1,43.0,,,,,,20.1997,31.9336
648,2018-01-14 13:00:00,,,,,12.6,43.0,,,,,,20.3986,37.5253
650,2018-01-14 14:00:00,,,,,13.6,42.0,,,,,,20.4782,39.6557
652,2018-01-14 15:00:00,,,,,14.2,42.0,,,,,,20.9086,40.5382
654,2018-01-14 16:00:00,,,,,13.9,42.0,,,,,,21.1618,40.0535
656,2018-01-14 17:00:00,,,,,13.3,44.0,,,,,,20.9375,36.0894
658,2018-01-14 18:00:00,,,,,12.5,46.0,,,,,,20.4022,
660,2018-01-14 19:00:00,,,,,11.8,53.0,,,,,,19.6499,35.7639
